,demographic,granular_audience,target_month,frame_id,datetimefrom,datetimeuntil,population,impacts,impacts_pedestrian,impacts_vehicular,rag_status
0,All Adults 15+ (1),All Adults (1),8,2000134685,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0007304711,0.0007304711,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1235325115,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0064199312,0.0021379829,0.0042819483,red
0,All Adults 15+ (1),All Adults (1),8,1234854328,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0004363227,0.000140377,0.0002959456,red
0,All Adults 15+ (1),All Adults (1),8,1234770398,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1235071952,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.003754581,0.003754581,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000204525,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0093782961,0.0017642553,0.0076140408,red
0,All Adults 15+ (1),All Adults (1),8,2000179442,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0247295003,0.0247295003,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234849269,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0012937156,0.0008832951,0.0004104205,red
0,All Adults 15+ (1),All Adults (1),8,2000196431,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0038777677,2.60006e-05,0.0038517672,red
0,All Adults 15+ (1),All Adults (1),8,1235076090,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234605633,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0538694456,0.0538694456,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000212633,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0220291573,0.002008671,0.0200204863,red
0,All Adults 15+ (1),All Adults (1),8,2000204484,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.006173792,0.0002221978,0.0059515941,red
0,All Adults 15+ (1),All Adults (1),8,1234856006,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0264094195,0.0002605676,0.0261488519,red
0,All Adults 15+ (1),All Adults (1),8,1234848400,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0028465745,0.001776075,0.0010704994,red
0,All Adults 15+ (1),All Adults (1),8,2000166964,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0036992861,0.0036992861,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1235204142,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0139231935,0.0004422496,0.0134809439,red
0,All Adults 15+ (1),All Adults (1),8,1234881438,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0406426467,0.000558535,0.0400841118,red
0,All Adults 15+ (1),All Adults (1),8,2000179368,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0016003289,0.0015696937,3.06352e-05,red
0,All Adults 15+ (1),All Adults (1),8,1234723730,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000028116,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.009798795,0.0002649729,0.0095338221,red
0,All Adults 15+ (1),All Adults (1),8,1234859718,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0028961477,0.0002057805,0.0026903673,red
0,All Adults 15+ (1),All Adults (1),8,1234835345,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1235245788,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0170426877,0.0007796988,0.0162629889,red
0,All Adults 15+ (1),All Adults (1),8,1234855751,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0012287828,0.0001776984,0.0010510845,red
0,All Adults 15+ (1),All Adults (1),8,2000212742,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0006551446,0.0001827523,0.0004723923,red
0,All Adults 15+ (1),All Adults (1),8,1235242345,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234852688,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.000885862,0.0007324989,0.000153363,red
0,All Adults 15+ (1),All Adults (1),8,1235242047,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234585387,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0188533419,0.0188533419,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000201203,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0035935992,0.0001978918,0.0033957074,red
0,All Adults 15+ (1),All Adults (1),8,1235195899,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0002302877,0.0002302877,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000204790,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0009948747,0.0001266906,0.0008681842,red
0,All Adults 15+ (1),All Adults (1),8,2000205932,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0002298791,2.17108e-05,0.0002081682,red
0,All Adults 15+ (1),All Adults (1),8,2000165932,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0092498539,6.05672e-05,0.0091892867,red
0,All Adults 15+ (1),All Adults (1),8,1234928741,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0036529909,0.0036529909,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234853563,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0088921695,0.0013123326,0.0075798369,red
0,All Adults 15+ (1),All Adults (1),8,2000212699,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0002961342,0.0002476501,4.84841e-05,red
0,All Adults 15+ (1),All Adults (1),8,2000119524,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.000346633,4.73835e-05,0.0002992495,red
0,All Adults 15+ (1),All Adults (1),8,1234592754,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0011449644,0.0011449644,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000166746,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0079282875,0.0079282875,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000167417,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0048681013,0.0048681013,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234855425,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0005368348,0.0005368348,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234856512,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0003660361,0.0003660361,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000214929,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.001565898,3.0589e-05,0.001535309,red
0,All Adults 15+ (1),All Adults (1),8,2000116107,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0268827174,0.0268827174,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234854965,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0002698421,0.0002349519,3.48902e-05,red
0,All Adults 15+ (1),All Adults (1),8,2000192555,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0069515072,0.0002752195,0.0066762877,red
0,All Adults 15+ (1),All Adults (1),8,1235187557,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1235191064,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.006050865,0.0043413285,0.0017095365,red
0,All Adults 15+ (1),All Adults (1),8,1234929580,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0024333261,0.0015919435,0.0008413826,red
0,All Adults 15+ (1),All Adults (1),8,1234855641,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0008269736,0.0001068079,0.0007201658,red
0,All Adults 15+ (1),All Adults (1),8,1234859626,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234854020,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234859096,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0048336761,0.0004585461,0.00437513,red
0,All Adults 15+ (1),All Adults (1),8,2000185692,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,6.54978e-05,5.61303e-05,9.3675e-06,red
0,All Adults 15+ (1),All Adults (1),8,1234930807,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.02779251,0.0054046407,0.0223878693,red
0,All Adults 15+ (1),All Adults (1),8,1234860259,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.002802867,1.06614e-05,0.0027922056,red
0,All Adults 15+ (1),All Adults (1),8,2000165647,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0076912713,0.0003470254,0.0073442459,red
0,All Adults 15+ (1),All Adults (1),8,2000134622,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0057840446,0.0057840446,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234929162,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234576003,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0231588048,0.0231588048,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234849246,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0009263512,0.000299102,0.0006272492,red
0,All Adults 15+ (1),All Adults (1),8,1234844273,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.1451692117,0.00010847,0.1450607416,red
0,All Adults 15+ (1),All Adults (1),8,1235071939,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0057053202,0.0057053202,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234853853,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0180701178,0.0003122892,0.0177578287,red
0,All Adults 15+ (1),All Adults (1),8,1234847887,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0049670192,0.001337687,0.0036293322,red
0,All Adults 15+ (1),All Adults (1),8,1234574176,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0042158916,0.0042158916,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000213994,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0091328366,0.0024002318,0.0067326047,red
0,All Adults 15+ (1),All Adults (1),8,1234852727,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0002552917,0.0002149552,4.03365e-05,red
0,All Adults 15+ (1),All Adults (1),8,1235250720,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0010976327,0.0010976327,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1235465761,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0216930914,0.0002701979,0.0214228935,red
0,All Adults 15+ (1),All Adults (1),8,1234860065,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0014990268,8.23225e-05,0.0014167043,red
0,All Adults 15+ (1),All Adults (1),8,1234856542,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0003843985,0.0001707793,0.0002136192,red
0,All Adults 15+ (1),All Adults (1),8,2000117671,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0159978754,0.0159978754,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234859452,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0008408015,0.0005026948,0.0003381067,red
0,All Adults 15+ (1),All Adults (1),8,1234841812,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0152644084,0.0010109547,0.0142534537,red
0,All Adults 15+ (1),All Adults (1),8,1234856710,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0005456424,0.0001886117,0.0003570306,red
0,All Adults 15+ (1),All Adults (1),8,1234592733,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0012635092,0.0012635092,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234856111,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0006985292,6.82065e-05,0.0006303228,red
0,All Adults 15+ (1),All Adults (1),8,1234853538,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.010531924,0.0021585102,0.0083734138,red
0,All Adults 15+ (1),All Adults (1),8,2000202788,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0002307391,6.5935e-06,0.0002241457,red
0,All Adults 15+ (1),All Adults (1),8,1234854448,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.00019335,0.00019335,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234932100,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0059431995,0.0059431995,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234929321,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0097127955,0.0016952842,0.0080175114,red
0,All Adults 15+ (1),All Adults (1),8,1234859604,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000188331,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0133666271,0.0025075825,0.0108590446,red
0,All Adults 15+ (1),All Adults (1),8,1234933116,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0073393901,0.000154886,0.0071845041,red
0,All Adults 15+ (1),All Adults (1),8,1234928948,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0146473089,0.0146473089,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234930344,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234853795,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234859063,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0078621776,0.0008750148,0.0069871628,red
0,All Adults 15+ (1),All Adults (1),8,1234933077,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0016728538,0.0016728538,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000191932,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0856704454,0.0023811129,0.0832893325,red
0,All Adults 15+ (1),All Adults (1),8,1234931672,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0713049479,0.005105408,0.0661995399,red
0,All Adults 15+ (1),All Adults (1),8,1234932982,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0266805325,0.0005102187,0.0261703138,red
